AC00	1100 1161
C11C	1109 1165
C11D	1109 1165 11A8
C11E	1109 1165 11A9
C11F	1109 1165 11AA
C120	1109 1165 11AB
C121	1109 1165 11AC
C122	1109 1165 11AD
C123	1109 1165 11AE
C124	1109 1165 11AF
C125	1109 1165 11B0
C126	1109 1165 11B1
C127	1109 1165 11B2
C128	1109 1165 11B3
C129	1109 1165 11B4
C12A	1109 1165 11B5
C12B	1109 1165 11B6
C12C	1109 1165 11B7
C12D	1109 1165 11B8
C12E	1109 1165 11B9
C12F	1109 1165 11BA
C130	1109 1165 11BB
C131	1109 1165 11BC
C132	1109 1165 11BD
C133	1109 1165 11BE
C134	1109 1165 11BF
C135	1109 1165 11C0
C136	1109 1165 11C1
C137	1109 1165 11C2
C138	1109 1166
C139	1109 1166 11A8
C13A	1109 1166 11A9
C13B	1109 1166 11AA
C13C	1109 1166 11AB
C13D	1109 1166 11AC
C13E	1109 1166 11AD
C13F	1109 1166 11AE
C140	1109 1166 11AF
C141	1109 1166 11B0
C142	1109 1166 11B1
C143	1109 1166 11B2
C144	1109 1166 11B3
C145	1109 1166 11B4
C146	1109 1166 11B5
C147	1109 1166 11B6
C148	1109 1166 11B7
C149	1109 1166 11B8
C14A	1109 1166 11B9
C14B	1109 1166 11BA
C14C	1109 1166 11BB
C14D	1109 1166 11BC
C14E	1109 1166 11BD
C14F	1109 1166 11BE
C150	1109 1166 11BF
C151	1109 1166 11C0
C152	1109 1166 11C1
C153	1109 1166 11C2
C154	1109 1167
C155	1109 1167 11A8
C156	1109 1167 11A9
C157	1109 1167 11AA
C158	1109 1167 11AB
C159	1109 1167 11AC
C15A	1109 1167 11AD
C15B	1109 1167 11AE
C15C	1109 1167 11AF
C15D	1109 1167 11B0
C15E	1109 1167 11B1
C15F	1109 1167 11B2
C160	1109 1167 11B3
C161	1109 1167 11B4
C162	1109 1167 11B5
C163	1109 1167 11B6
C164	1109 1167 11B7
C165	1109 1167 11B8
C166	1109 1167 11B9
C167	1109 1167 11BA
C168	1109 1167 11BB
C169	1109 1167 11BC
C16A	1109 1167 11BD
C16B	1109 1167 11BE
C16C	1109 1167 11BF
C16D	1109 1167 11C0
C16E	1109 1167 11C1
C16F	1109 1167 11C2
C170	1109 1168
C171	1109 1168 11A8
C172	1109 1168 11A9
C173	1109 1168 11AA
C174	1109 1168 11AB
C175	1109 1168 11AC
C176	1109 1168 11AD
C177	1109 1168 11AE
C178	1109 1168 11AF
C179	1109 1168 11B0
C17A	1109 1168 11B1
C17B	1109 1168 11B2
C17C	1109 1168 11B3
C17D	1109 1168 11B4
C17E	1109 1168 11B5
C17F	1109 1168 11B6
C180	1109 1168 11B7
C181	1109 1168 11B8
C182	1109 1168 11B9
C183	1109 1168 11BA
C184	1109 1168 11BB
C185	1109 1168 11BC
C186	1109 1168 11BD
C187	1109 1168 11BE
C188	1109 1168 11BF
C189	1109 1168 11C0
C18A	1109 1168 11C1
C18B	1109 1168 11C2
C18C	1109 1169
C18D	1109 1169 11A8
C18E	1109 1169 11A9
C18F	1109 1169 11AA
C190	1109 1169 11AB
C191	1109 1169 11AC
C192	1109 1169 11AD
C193	1109 1169 11AE
C194	1109 1169 11AF
C195	1109 1169 11B0
C196	1109 1169 11B1
C197	1109 1169 11B2
C198	1109 1169 11B3
C199	1109 1169 11B4
C19A	1109 1169 11B5
C19B	1109 1169 11B6
C19C	1109 1169 11B7
C19D	1109 1169 11B8
C19E	1109 1169 11B9
C19F	1109 1169 11BA
C1A0	1109 1169 11BB
C1A1	1109 1169 11BC
C1A2	1109 1169 11BD
C1A3	1109 1169 11BE
C1A4	1109 1169 11BF
C1A5	1109 1169 11C0
C1A6	1109 1169 11C1
C1A7	1109 1169 11C2
C1A8	1109 116A
C1A9	1109 116A 11A8
C1AA	1109 116A 11A9
C1AB	1109 116A 11AA
C1AC	1109 116A 11AB
C1AD	1109 116A 11AC
C1AE	1109 116A 11AD
C1AF	1109 116A 11AE
C1B0	1109 116A 11AF
C1B1	1109 116A 11B0
C1B2	1109 116A 11B1
C1B3	1109 116A 11B2
C1B4	1109 116A 11B3
C1B5	1109 116A 11B4
C1B6	1109 116A 11B5
C1B7	1109 116A 11B6
C1B8	1109 116A 11B7
C1B9	1109 116A 11B8
C1BA	1109 116A 11B9
C1BB	1109 116A 11BA
C1BC	1109 116A 11BB
C1BD	1109 116A 11BC
C1BE	1109 116A 11BD
C1BF	1109 116A 11BE
C1C0	1109 116A 11BF
C1C1	1109 116A 11C0
C1C2	1109 116A 11C1
C1C3	1109 116A 11C2
C1C4	1109 116B
C1C5	1109 116B 11A8
C1C6	1109 116B 11A9
C1C7	1109 116B 11AA
C1C8	1109 116B 11AB
C1C9	1109 116B 11AC
C1CA	1109 116B 11AD
C1CB	1109 116B 11AE
C1CC	1109 116B 11AF
C1CD	1109 116B 11B0
C1CE	1109 116B 11B1
C1CF	1109 116B 11B2
C1D0	1109 116B 11B3
C1D1	1109 116B 11B4
C1D2	1109 116B 11B5
C1D3	1109 116B 11B6
C1D4	1109 116B 11B7
C1D5	1109 116B 11B8
C1D6	1109 116B 11B9
C1D7	1109 116B 11BA
C1D8	1109 116B 11BB
C1D9	1109 116B 11BC
C1DA	1109 116B 11BD
C1DB	1109 116B 11BE
C1DC	1109 116B 11BF
C1DD	1109 116B 11C0
C1DE	1109 116B 11C1
C1DF	1109 116B 11C2
C1E0	1109 116C
C1E1	1109 116C 11A8
C1E2	1109 116C 11A9
C1E3	1109 116C 11AA
C1E4	1109 116C 11AB
C1E5	1109 116C 11AC
C1E6	1109 116C 11AD
C1E7	1109 116C 11AE
C1E8	1109 116C 11AF
C1E9	1109 116C 11B0
C1EA	1109 116C 11B1
C1EB	1109 116C 11B2
C1EC	1109 116C 11B3
C1ED	1109 116C 11B4
C1EE	1109 116C 11B5
C1EF	1109 116C 11B6
C1F0	1109 116C 11B7
C1F1	1109 116C 11B8
C1F2	1109 116C 11B9
C1F3	1109 116C 11BA
C1F4	1109 116C 11BB
C1F5	1109 116C 11BC
C1F6	1109 116C 11BD
C1F7	1109 116C 11BE
C1F8	1109 116C 11BF
C1F9	1109 116C 11C0
C1FA	1109 116C 11C1
C1FB	1109 116C 11C2
C1FC	1109 116D
C1FD	1109 116D 11A8
C1FE	1109 116D 11A9
C1FF	1109 116D 11AA
C200	1109 116D 11AB
C201	1109 116D 11AC
C202	1109 116D 11AD
C203	1109 116D 11AE
C204	1109 116D 11AF
C205	1109 116D 11B0
C206	1109 116D 11B1
C207	1109 116D 11B2
C208	1109 116D 11B3
C209	1109 116D 11B4
C20A	1109 116D 11B5
C20B	1109 116D 11B6
C20C	1109 116D 11B7
C20D	1109 116D 11B8
C20E	1109 116D 11B9
C20F	1109 116D 11BA
C210	1109 116D 11BB
C211	1109 116D 11BC
C212	1109 116D 11BD
C213	1109 116D 11BE
C214	1109 116D 11BF
C215	1109 116D 11C0
C216	1109 116D 11C1
C217	1109 116D 11C2
C218	1109 116E
C219	1109 116E 11A8
C21A	1109 116E 11A9
C21B	1109 116E 11AA
C21C	1109 116E 11AB
C21D	1109 116E 11AC
C21E	1109 116E 11AD
C21F	1109 116E 11AE
C220	1109 116E 11AF
C221	1109 116E 11B0
C222	1109 116E 11B1
C223	1109 116E 11B2
C224	1109 116E 11B3
C225	1109 116E 11B4
C226	1109 116E 11B5
C227	1109 116E 11B6
C228	1109 116E 11B7
C229	1109 116E 11B8
C22A	1109 116E 11B9
C22B	1109 116E 11BA
C22C	1109 116E 11BB
C22D	1109 116E 11BC
C22E	1109 116E 11BD
C22F	1109 116E 11BE
C230	1109 116E 11BF
C231	1109 116E 11C0
C232	1109 116E 11C1
C233	1109 116E 11C2
C234	1109 116F
C235	1109 116F 11A8
C236	1109 116F 11A9
C237	1109 116F 11AA
C238	1109 116F 11AB
C239	1109 116F 11AC
C23A	1109 116F 11AD
C23B	1109 116F 11AE
C23C	1109 116F 11AF
C23D	1109 116F 11B0
C23E	1109 116F 11B1
C23F	1109 116F 11B2
C240	1109 116F 11B3
C241	1109 116F 11B4
C242	1109 116F 11B5
C243	1109 116F 11B6
C244	1109 116F 11B7
C245	1109 116F 11B8
C246	1109 116F 11B9
C247	1109 116F 11BA
C248	1109 116F 11BB
C249	1109 116F 11BC
C24A	1109 116F 11BD
C24B	1109 116F 11BE
C24C	1109 116F 11BF
C24D	1109 116F 11C0
C24E	1109 116F 11C1
C24F	1109 116F 11C2
C250	1109 1170
C251	1109 1170 11A8
C252	1109 1170 11A9
C253	1109 1170 11AA
C254	1109 1170 11AB
C255	1109 1170 11AC
C256	1109 1170 11AD
C257	1109 1170 11AE
C258	1109 1170 11AF
C259	1109 1170 11B0
C25A	1109 1170 11B1
C25B	1109 1170 11B2
C25C	1109 1170 11B3
C25D	1109 1170 11B4
C25E	1109 1170 11B5
C25F	1109 1170 11B6
C260	1109 1170 11B7
C261	1109 1170 11B8
C262	1109 1170 11B9
C263	1109 1170 11BA
C264	1109 1170 11BB
C265	1109 1170 11BC
C266	1109 1170 11BD
C267	1109 1170 11BE
C268	1109 1170 11BF
C269	1109 1170 11C0
C26A	1109 1170 11C1
C26B	1109 1170 11C2
C26C	1109 1171
C26D	1109 1171 11A8
C26E	1109 1171 11A9
C26F	1109 1171 11AA
C270	1109 1171 11AB
C271	1109 1171 11AC
C272	1109 1171 11AD
C273	1109 1171 11AE
C274	1109 1171 11AF
C275	1109 1171 11B0
C276	1109 1171 11B1
C277	1109 1171 11B2
C278	1109 1171 11B3
C279	1109 1171 11B4
C27A	1109 1171 11B5
C27B	1109 1171 11B6
C27C	1109 1171 11B7
C27D	1109 1171 11B8
C27E	1109 1171 11B9
C27F	1109 1171 11BA
C280	1109 1171 11BB
C281	1109 1171 11BC
C282	1109 1171 11BD
C283	1109 1171 11BE
C284	1109 1171 11BF
C285	1109 1171 11C0
C286	1109 1171 11C1
C287	1109 1171 11C2
C288	1109 1172
C289	1109 1172 11A8
C28A	1109 1172 11A9
C28B	1109 1172 11AA
C28C	1109 1172 11AB
C28D	1109 1172 11AC
C28E	1109 1172 11AD
C28F	1109 1172 11AE
C290	1109 1172 11AF
C291	1109 1172 11B0
C292	1109 1172 11B1
C293	1109 1172 11B2
C294	1109 1172 11B3
C295	1109 1172 11B4
C296	1109 1172 11B5
C297	1109 1172 11B6
C298	1109 1172 11B7
C299	1109 1172 11B8
C29A	1109 1172 11B9
C29B	1109 1172 11BA
C29C	1109 1172 11BB
C29D	1109 1172 11BC
C29E	1109 1172 11BD
C29F	1109 1172 11BE
C2A0	1109 1172 11BF
C2A1	1109 1172 11C0
C2A2	1109 1172 11C1
C2A3	1109 1172 11C2
C2A4	1109 1173
C2A5	1109 1173 11A8
C2A6	1109 1173 11A9
C2A7	1109 1173 11AA
C2A8	1109 1173 11AB
C2A9	1109 1173 11AC
C2AA	1109 1173 11AD
C2AB	1109 1173 11AE
C2AC	1109 1173 11AF
C2AD	1109 1173 11B0
C2AE	1109 1173 11B1
C2AF	1109 1173 11B2
C2B0	1109 1173 11B3
C2B1	1109 1173 11B4
C2B2	1109 1173 11B5
C2B3	1109 1173 11B6
C2B4	1109 1173 11B7
C2B5	1109 1173 11B8
C2B6	1109 1173 11B9
C2B7	1109 1173 11BA
C2B8	1109 1173 11BB
C2B9	1109 1173 11BC
C2BA	1109 1173 11BD
C2BB	1109 1173 11BE
C2BC	1109 1173 11BF
C2BD	1109 1173 11C0
C2BE	1109 1173 11C1
C2BF	1109 1173 11C2
C2C0	1109 1174
C2C1	1109 1174 11A8
C2C2	1109 1174 11A9
C2C3	1109 1174 11AA
C2C4	1109 1174 11AB
C2C5	1109 1174 11AC
C2C6	1109 1174 11AD
C2C7	1109 1174 11AE
C2C8	1109 1174 11AF
C2C9	1109 1174 11B0
C2CA	1109 1174 11B1
C2CB	1109 1174 11B2
C2CC	1109 1174 11B3
C2CD	1109 1174 11B4
C2CE	1109 1174 11B5
C2CF	1109 1174 11B6
C2D0	1109 1174 11B7
C2D1	1109 1174 11B8
C2D2	1109 1174 11B9
C2D3	1109 1174 11BA
C2D4	1109 1174 11BB
C2D5	1109 1174 11BC
C2D6	1109 1174 11BD
C2D7	1109 1174 11BE
C2D8	1109 1174 11BF
C2D9	1109 1174 11C0
C2DA	1109 1174 11C1
C2DB	1109 1174 11C2
C2DC	1109 1175
C2DD	1109 1175 11A8
C2DE	1109 1175 11A9
C2DF	1109 1175 11AA
C2E0	1109 1175 11AB
C2E1	1109 1175 11AC
C2E2	1109 1175 11AD
C2E3	1109 1175 11AE
C2E4	1109 1175 11AF
C2E5	1109 1175 11B0
C2E6	1109 1175 11B1
C2E7	1109 1175 11B2
C2E8	1109 1175 11B3
C2E9	1109 1175 11B4
C2EA	1109 1175 11B5
C2EB	1109 1175 11B6
C2EC	1109 1175 11B7
C2ED	1109 1175 11B8
C2EE	1109 1175 11B9
C2EF	1109 1175 11BA
C2F0	1109 1175 11BB
C2F1	1109 1175 11BC
C2F2	1109 1175 11BD
C2F3	1109 1175 11BE
C2F4	1109 1175 11BF
C2F5	1109 1175 11C0
C2F6	1109 1175 11C1
C2F7	1109 1175 11C2
C2F8	110A 1161
C2F9	110A 1161 11A8
C2FA	110A 1161 11A9
C2FB	110A 1161 11AA
C2FC	110A 1161 11AB
C2FD	110A 1161 11AC
C2FE	110A 1161 11AD
C2FF	110A 1161 11AE
C300	110A 1161 11AF
C301	110A 1161 11B0
C302	110A 1161 11B1
C303	110A 1161 11B2
C304	110A 1161 11B3
C305	110A 1161 11B4
C306	110A 1161 11B5
C307	110A 1161 11B6
C308	110A 1161 11B7
C309	110A 1161 11B8
C30A	110A 1161 11B9
C30B	110A 1161 11BA
C30C	110A 1161 11BB
C30D	110A 1161 11BC
C30E	110A 1161 11BD
C30F	110A 1161 11BE
C310	110A 1161 11BF
C311	110A 1161 11C0
C312	110A 1161 11C1
C313	110A 1161 11C2
C314	110A 1162
C315	110A 1162 11A8
C316	110A 1162 11A9
C317	110A 1162 11AA
C318	110A 1162 11AB
C319	110A 1162 11AC
C31A	110A 1162 11AD
C31B	110A 1162 11AE
C31C	110A 1162 11AF
C31D	110A 1162 11B0
C31E	110A 1162 11B1
C31F	110A 1162 11B2
C320	110A 1162 11B3
C321	110A 1162 11B4
C322	110A 1162 11B5
C323	110A 1162 11B6
C324	110A 1162 11B7
C325	110A 1162 11B8
C326	110A 1162 11B9
C327	110A 1162 11BA
C328	110A 1162 11BB
C329	110A 1162 11BC
C32A	110A 1162 11BD
C32B	110A 1162 11BE
C32C	110A 1162 11BF
C32D	110A 1162 11C0
C32E	110A 1162 11C1
C32F	110A 1162 11C2
C330	110A 1163
C331	110A 1163 11A8
C332	110A 1163 11A9
C333	110A 1163 11AA
C334	110A 1163 11AB
C335	110A 1163 11AC
C336	110A 1163 11AD
C337	110A 1163 11AE
C338	110A 1163 11AF
C339	110A 1163 11B0
C33A	110A 1163 11B1
C33B	110A 1163 11B2
C33C	110A 1163 11B3
C33D	110A 1163 11B4
C33E	110A 1163 11B5
C33F	110A 1163 11B6
C340	110A 1163 11B7
C341	110A 1163 11B8
C342	110A 1163 11B9
C343	110A 1163 11BA
C344	110A 1163 11BB
C345	110A 1163 11BC
C346	110A 1163 11BD
C347	110A 1163 11BE
C348	110A 1163 11BF
C349	110A 1163 11C0
C34A	110A 1163 11C1
C34B	110A 1163 11C2
C34C	110A 1164
C34D	110A 1164 11A8
C34E	110A 1164 11A9
C34F	110A 1164 11AA
C350	110A 1164 11AB
C351	110A 1164 11AC
C352	110A 1164 11AD
C353	110A 1164 11AE
C354	110A 1164 11AF
C355	110A 1164 11B0
C356	110A 1164 11B1
C357	110A 1164 11B2
C358	110A 1164 11B3
C359	110A 1164 11B4
C35A	110A 1164 11B5
C35B	110A 1164 11B6
C35C	110A 1164 11B7
C35D	110A 1164 11B8
C35E	110A 1164 11B9
C35F	110A 1164 11BA
C360	110A 1164 11BB
C361	110A 1164 11BC
C362	110A 1164 11BD
C363	110A 1164 11BE
C364	110A 1164 11BF
C365	110A 1164 11C0
C366	110A 1164 11C1
C367	110A 1164 11C2
C368	110A 1165
C369	110A 1165 11A8
C36A	110A 1165 11A9
C36B	110A 1165 11AA
C36C	110A 1165 11AB
C36D	110A 1165 11AC
C36E	110A 1165 11AD
C36F	110A 1165 11AE
C370	110A 1165 11AF
C371	110A 1165 11B0
C372	110A 1165 11B1
C373	110A 1165 11B2
C374	110A 1165 11B3
C375	110A 1165 11B4
C376	110A 1165 11B5
C377	110A 1165 11B6
C378	110A 1165 11B7
C379	110A 1165 11B8
C37A	110A 1165 11B9
C37B	110A 1165 11BA
C37C	110A 1165 11BB
C37D	110A 1165 11BC
C37E	110A 1165 11BD
C37F	110A 1165 11BE
C380	110A 1165 11BF
C381	110A 1165 11C0
C382	110A 1165 11C1
C383	110A 1165 11C2
C384	110A 1166
C385	110A 1166 11A8
C386	110A 1166 11A9
C387	110A 1166 11AA
C388	110A 1166 11AB
C389	110A 1166 11AC
C38A	110A 1166 11AD
C38B	110A 1166 11AE
C38C	110A 1166 11AF
C38D	110A 1166 11B0
C38E	110A 1166 11B1
C38F	110A 1166 11B2
C390	110A 1166 11B3
C391	110A 1166 11B4
C392	110A 1166 11B5
C393	110A 1166 11B6
C394	110A 1166 11B7
C395	110A 1166 11B8
C396	110A 1166 11B9
C397	110A 1166 11BA
C398	110A 1166 11BB
C399	110A 1166 11BC
C39A	110A 1166 11BD
C39B	110A 1166 11BE
C39C	110A 1166 11BF
C39D	110A 1166 11C0
C39E	110A 1166 11C1
C39F	110A 1166 11C2
C3A0	110A 1167
C3A1	110A 1167 11A8
C3A2	110A 1167 11A9
C3A3	110A 1167 11AA
C3A4	110A 1167 11AB
C3A5	110A 1167 11AC
C3A6	110A 1167 11AD
C3A7	110A 1167 11AE
C3A8	110A 1167 11AF
C3A9	110A 1167 11B0
C3AA	110A 1167 11B1
C3AB	110A 1167 11B2
C3AC	110A 1167 11B3
C3AD	110A 1167 11B4
C3AE	110A 1167 11B5
C3AF	110A 1167 11B6
C3B0	110A 1167 11B7
C3B1	110A 1167 11B8
C3B2	110A 1167 11B9
C3B3	110A 1167 11BA
C3B4	110A 1167 11BB
C3B5	110A 1167 11BC
C3B6	110A 1167 11BD
C3B7	110A 1167 11BE
C3B8	110A 1167 11BF
C3B9	110A 1167 11C0
C3BA	110A 1167 11C1
C3BB	110A 1167 11C2
C3BC	110A 1168
C3BD	110A 1168 11A8
C3BE	110A 1168 11A9
C3BF	110A 1168 11AA
C3C0	110A 1168 11AB
C3C1	110A 1168 11AC
C3C2	110A 1168 11AD
C3C3	110A 1168 11AE
C3C4	110A 1168 11AF
C3C5	110A 1168 11B0
C3C6	110A 1168 11B1
C3C7	110A 1168 11B2
C3C8	110A 1168 11B3
C3C9	110A 1168 11B4
C3CA	110A 1168 11B5
C3CB	110A 1168 11B6
C3CC	110A 1168 11B7
C3CD	110A 1168 11B8
C3CE	110A 1168 11B9
C3CF	110A 1168 11BA
C3D0	110A 1168 11BB
C3D1	110A 1168 11BC
C3D2	110A 1168 11BD
C3D3	110A 1168 11BE
C3D4	110A 1168 11BF
C3D5	110A 1168 11C0
C3D6	110A 1168 11C1
C3D7	110A 1168 11C2
C3D8	110A 1169
C3D9	110A 1169 11A8
C3DA	110A 1169 11A9
C3DB	110A 1169 11AA
C3DC	110A 1169 11AB
C3DD	110A 1169 11AC
C3DE	110A 1169 11AD
C3DF	110A 1169 11AE
C3E0	110A 1169 11AF
C3E1	110A 1169 11B0
C3E2	110A 1169 11B1
C3E3	110A 1169 11B2
C3E4	110A 1169 11B3
C3E5	110A 1169 11B4
C3E6	110A 1169 11B5
C3E7	110A 1169 11B6
C3E8	110A 1169 11B7
C3E9	110A 1169 11B8
C3EA	110A 1169 11B9
C3EB	110A 1169 11BA
C3EC	110A 1169 11BB
C3ED	110A 1169 11BC
C3EE	110A 1169 11BD
C3EF	110A 1169 11BE
C3F0	110A 1169 11BF
C3F1	110A 1169 11C0
C3F2	110A 1169 11C1
C3F3	110A 1169 11C2
C3F4	110A 116A
C3F5	110A 116A 11A8
C3F6	110A 116A 11A9
C3F7	110A 116A 11AA
C3F8	110A 116A 11AB
C3F9	110A 116A 11AC
C3FA	110A 116A 11AD
C3FB	110A 116A 11AE
C3FC	110A 116A 11AF
C3FD	110A 116A 11B0
C3FE	110A 116A 11B1
C3FF	110A 116A 11B2
C400	110A 116A 11B3
C401	110A 116A 11B4
C402	110A 116A 11B5
C403	110A 116A 11B6
C404	110A 116A 11B7
C405	110A 116A 11B8
C406	110A 116A 11B9
C407	110A 116A 11BA
C408	110A 116A 11BB
C409	110A 116A 11BC
C40A	110A 116A 11BD
C40B	110A 116A 11BE
C40C	110A 116A 11BF
C40D	110A 116A 11C0
C40E	110A 116A 11C1
C40F	110A 116A 11C2
C410	110A 116B
C411	110A 116B 11A8
C412	110A 116B 11A9
C413	110A 116B 11AA
C414	110A 116B 11AB
C415	110A 116B 11AC
C416	110A 116B 11AD
C417	110A 116B 11AE
C418	110A 116B 11AF
C419	110A 116B 11B0
C41A	110A 116B 11B1
C41B	110A 116B 11B2
C41C	110A 116B 11B3
C41D	110A 116B 11B4
C41E	110A 116B 11B5
C41F	110A 116B 11B6
C420	110A 116B 11B7
C421	110A 116B 11B8
C422	110A 116B 11B9
C423	110A 116B 11BA
C424	110A 116B 11BB
C425	110A 116B 11BC
C426	110A 116B 11BD
C427	110A 116B 11BE
C428	110A 116B 11BF
C429	110A 116B 11C0
C42A	110A 116B 11C1
C42B	110A 116B 11C2
C42C	110A 116C
C42D	110A 116C 11A8
C42E	110A 116C 11A9
C42F	110A 116C 11AA
C430	110A 116C 11AB
C431	110A 116C 11AC
C432	110A 116C 11AD
C433	110A 116C 11AE
C434	110A 116C 11AF
C435	110A 116C 11B0
C436	110A 116C 11B1
C437	110A 116C 11B2
C438	110A 116C 11B3
C439	110A 116C 11B4
C43A	110A 116C 11B5
C43B	110A 116C 11B6
C43C	110A 116C 11B7
C43D	110A 116C 11B8
C43E	110A 116C 11B9
C43F	110A 116C 11BA
C440	110A 116C 11BB
C441	110A 116C 11BC
C442	110A 116C 11BD
C443	110A 116C 11BE
C444	110A 116C 11BF
C445	110A 116C 11C0
C446	110A 116C 11C1
C447	110A 116C 11C2
C448	110A 116D
C449	110A 116D 11A8
C44A	110A 116D 11A9
C44B	110A 116D 11AA
C44C	110A 116D 11AB
C44D	110A 116D 11AC
C44E	110A 116D 11AD
C44F	110A 116D 11AE
C450	110A 116D 11AF
C451	110A 116D 11B0
C452	110A 116D 11B1
C453	110A 116D 11B2
C454	110A 116D 11B3
C455	110A 116D 11B4
C456	110A 116D 11B5
C457	110A 116D 11B6
C458	110A 116D 11B7
C459	110A 116D 11B8
C45A	110A 116D 11B9
C45B	110A 116D 11BA
C45C	110A 116D 11BB
C45D	110A 116D 11BC
C45E	110A 116D 11BD
C45F	110A 116D 11BE
C460	110A 116D 11BF
C461	110A 116D 11C0
C462	110A 116D 11C1
C463	110A 116D 11C2
C464	110A 116E
C465	110A 116E 11A8
C466	110A 116E 11A9
C467	110A 116E 11AA
C468	110A 116E 11AB
C469	110A 116E 11AC
C46A	110A 116E 11AD
C46B	110A 116E 11AE
C46C	110A 116E 11AF
C46D	110A 116E 11B0
C46E	110A 116E 11B1
C46F	110A 116E 11B2
C470	110A 116E 11B3
C471	110A 116E 11B4
C472	110A 116E 11B5
C473	110A 116E 11B6
C474	110A 116E 11B7
C475	110A 116E 11B8
C476	110A 116E 11B9
C477	110A 116E 11BA
C478	110A 116E 11BB
C479	110A 116E 11BC
C47A	110A 116E 11BD
C47B	110A 116E 11BE
C47C	110A 116E 11BF
C47D	110A 116E 11C0
C47E	110A 116E 11C1
C47F	110A 116E 11C2
C480	110A 116F
C481	110A 116F 11A8
C482	110A 116F 11A9
C483	110A 116F 11AA
C484	110A 116F 11AB
C485	110A 116F 11AC
C486	110A 116F 11AD
C487	110A 116F 11AE
C488	110A 116F 11AF
C489	110A 116F 11B0
C48A	110A 116F 11B1
C48B	110A 116F 11B2
C48C	110A 116F 11B3
C48D	110A 116F 11B4
C48E	110A 116F 11B5
C48F	110A 116F 11B6
C490	110A 116F 11B7
C491	110A 116F 11B8
C492	110A 116F 11B9
C493	110A 116F 11BA
C494	110A 116F 11BB
C495	110A 116F 11BC
C496	110A 116F 11BD
C497	110A 116F 11BE
C498	110A 116F 11BF
C499	110A 116F 11C0
C49A	110A 116F 11C1
C49B	110A 116F 11C2
C49C	110A 1170
C49D	110A 1170 11A8
C49E	110A 1170 11A9
C49F	110A 1170 11AA
C4A0	110A 1170 11AB
C4A1	110A 1170 11AC
C4A2	110A 1170 11AD
C4A3	110A 1170 11AE
C4A4	110A 1170 11AF
C4A5	110A 1170 11B0
C4A6	110A 1170 11B1
C4A7	110A 1170 11B2
C4A8	110A 1170 11B3
C4A9	110A 1170 11B4
C4AA	110A 1170 11B5
C4AB	110A 1170 11B6
C4AC	110A 1170 11B7
C4AD	110A 1170 11B8
C4AE	110A 1170 11B9
C4AF	110A 1170 11BA
C4B0	110A 1170 11BB
C4B1	110A 1170 11BC
C4B2	110A 1170 11BD
C4B3	110A 1170 11BE
C4B4	110A 1170 11BF
C4B5	110A 1170 11C0
C4B6	110A 1170 11C1
C4B7	110A 1170 11C2
C4B8	110A 1171
C4B9	110A 1171 11A8
C4BA	110A 1171 11A9
C4BB	110A 1171 11AA
C4BC	110A 1171 11AB
C4BD	110A 1171 11AC
C4BE	110A 1171 11AD
C4BF	110A 1171 11AE
C4C0	110A 1171 11AF
C4C1	110A 1171 11B0
C4C2	110A 1171 11B1
C4C3	110A 1171 11B2
C4C4	110A 1171 11B3
C4C5	110A 1171 11B4
C4C6	110A 1171 11B5
C4C7	110A 1171 11B6
C4C8	110A 1171 11B7
C4C9	110A 1171 11B8
C4CA	110A 1171 11B9
C4CB	110A 1171 11BA
C4CC	110A 1171 11BB
C4CD	110A 1171 11BC
C4CE	110A 1171 11BD
C4CF	110A 1171 11BE
C4D0	110A 1171 11BF
C4D1	110A 1171 11C0
C4D2	110A 1171 11C1
C4D3	110A 1171 11C2
C4D4	110A 1172
C4D5	110A 1172 11A8
C4D6	110A 1172 11A9
C4D7	110A 1172 11AA
C4D8	110A 1172 11AB
C4D9	110A 1172 11AC
C4DA	110A 1172 11AD
C4DB	110A 1172 11AE
C4DC	110A 1172 11AF
C4DD	110A 1172 11B0
C4DE	110A 1172 11B1
C4DF	110A 1172 11B2
C4E0	110A 1172 11B3
C4E1	110A 1172 11B4
C4E2	110A 1172 11B5
C4E3	110A 1172 11B6
C4E4	110A 1172 11B7
C4E5	110A 1172 11B8
C4E6	110A 1172 11B9
C4E7	110A 1172 11BA
C4E8	110A 1172 11BB
C4E9	110A 1172 11BC
C4EA	110A 1172 11BD
C4EB	110A 1172 11BE
C4EC	110A 1172 11BF
C4ED	110A 1172 11C0
C4EE	110A 1172 11C1
C4EF	110A 1172 11C2
C4F0	110A 1173
C4F1	110A 1173 11A8
C4F2	110A 1173 11A9
C4F3	110A 1173 11AA
C4F4	110A 1173 11AB
C4F5	110A 1173 11AC
C4F6	110A 1173 11AD
C4F7	110A 1173 11AE
C4F8	110A 1173 11AF
C4F9	110A 1173 11B0
C4FA	110A 1173 11B1
C4FB	110A 1173 11B2
C4FC	110A 1173 11B3
C4FD	110A 1173 11B4
C4FE	110A 1173 11B5
C4FF	110A 1173 11B6
C500	110A 1173 11B7
C501	110A 1173 11B8
C502	110A 1173 11B9
C503	110A 1173 11BA
C504	110A 1173 11BB
C505	110A 1173 11BC
C506	110A 1173 11BD
C507	110A 1173 11BE
C508	110A 1173 11BF
C509	110A 1173 11C0
C50A	110A 1173 11C1
C50B	110A 1173 11C2
C50C	110A 1174
C50D	110A 1174 11A8
